买家会员名,宝贝ID,推荐指数
13726236901琪琪,539677826038,1.2258064516129032
13726236901琪琪,35722000205,1.166034155597723
13785608367ma,540662291619,1.507398932112891
13785608367ma,35877393642,1.381320352905385
13785608367ma,520310825412,1.335823429541596
13785608367ma,527419046969,1.221817363922627
13785608367ma,547794157516,0.988505004843397
13785608367ma,540662535716,0.9342105263157896
13785608367ma,35721027449,0.9342105263157896
13785608367ma,43104145123,0.9242105263157896
13785608367ma,530812936284,0.9105263157894739
13785608367ma,550659732532,0.898703279938978
13964524936杨,42577833473,1.6863425925925928
13964524936杨,43104145123,1.0325925925925927
13964524936杨,528166273868,1.0224433388612495
13964524936杨,537252200486,1.0164021164021164
13964524936杨,39386028930,1.0037037037037038
13964524936杨,537215013586,0.9925925925925927
13964524936杨,35721027449,0.0
13964524936杨,544106282196,0.0
13964524936杨,544100858313,0.0
13964524936杨,544099790786,0.0
1483737059张玉,537396783238,2.6233677236135344
1483737059张玉,36286235128,2.4543496928110993
1483737059张玉,549882564050,2.2496229260935143
1483737059张玉,520310825412,2.1140060656189688
1483737059张玉,36266985550,1.7676563202878994
1483737059张玉,547794157516,1.76668764092077
1483737059张玉,541592740476,1.7434742434742436
1483737059张玉,538494418449,1.6920961326901922
1483737059张玉,42577833473,1.6863425925925928
1483737059张玉,550659732532,1.676885916016351
15006665289y,39539028043,2.441955590183093
15006665289y,549378588703,1.9589690245030051
15006665289y,35798985871,1.5946248600223965
15006665289y,531846025844,1.2564424474692744
15006665289y,544768785584,1.240307486631016
15006665289y,545940561990,1.2
15006665289y,35722333869,1.1642857142857141
15006665289y,520310825412,1.1523345041026691
15006665289y,540522690300,1.127831715210356
15006665289y,531145857565,1.1257099169943208
15016188625洪,39539028043,3.83795316447054
15016188625洪,546243180299,2.5809820944112856
15016188625洪,537180206236,2.505623242736645
15016188625洪,36353085367,2.438248992621278
15016188625洪,527475911875,2.082272084091368
15016188625洪,544100858313,1.8428666444961754
15016188625洪,547572252871,1.8010777881911901
15016188625洪,522609190751,1.7916838487972508
15016188625洪,538658337414,1.7783505154639174
15016188625洪,543719829706,1.7783505154639174
15087673908a,540407272609,2.05170760736602
15087673908a,540349069906,1.851627299903162
15087673908a,36267739775,1.8245735455766805
15087673908a,545979147913,0.0
15087673908a,545974803385,0.0
15087673908a,543695068744,0.0
15087673908a,543719829706,0.0
15087673908a,543742043514,0.0
15087673908a,543812646033,0.0
15087673908a,543827067334,0.0
15643825726cl,539677826038,1.6657914478619655
15643825726cl,35798985871,1.5936352509179927
15643825726cl,531846025844,1.2554528383648706
15643825726cl,541592740476,1.069453174104337
15643825726cl,545959606207,1.0515436241610738
15643825726cl,42711696783,1.039005004415661
15643825726cl,547382055156,1.0293556995806328
15643825726cl,530710879153,1.0254091300602928
15643825726cl,539522491801,1.0136885487194582
15643825726cl,36416065395,1.0133720930232557
15886190245f,527419046969,4.162679723904214
15886190245f,531846025844,4.092153631638991
15886190245f,45404080098,4.066739552964043
15886190245f,545912368452,3.8695173307418207
15886190245f,39375321605,3.8599566072276086
15886190245f,538494418449,3.8547758565944057
15886190245f,35798891586,3.8461255178763234
15886190245f,538535227251,3.845072886297376
15886190245f,547380519834,3.839778768650317
15886190245f,39386028930,3.836183997408487
15900125309sh,537396783238,2.54805948137349
15900125309sh,544016559367,1.8809780654440846
15900125309sh,549882564050,1.7721209426411737
15900125309sh,544768785584,1.5153208349757998
15900125309sh,540662291619,1.507398932112891
15900125309sh,528705813655,1.4545454545454546
15900125309sh,520310825412,1.335823429541596
15900125309sh,527419046969,1.189833617228666
15900125309sh,545959606207,1.1797901836033269
15900125309sh,36353085367,1.162788650567765
168剁手党,537396783238,4.464342292690071
168剁手党,544768785584,3.6830274317519214
168剁手党,527419046969,3.1626797239042137
168剁手党,531846025844,3.0921536316389906
168剁手党,45404080098,3.0667395529640427
168剁手党,528109847799,3.017561149208174
168剁手党,545912368452,2.8695173307418207
168剁手党,35722423659,2.868551147166941
168剁手党,39375321605,2.8599566072276086
168剁手党,538494418449,2.8547758565944052
169lina,39539028043,2.441955590183093
169lina,544115759872,2.1163863266413454
169lina,36286235128,1.8373202760957865
169lina,537180206236,1.7272727272727273
169lina,35798985871,1.5946248600223965
169lina,42577833473,1.5894555214723927
169lina,35753244214,1.582236842105263
169lina,539677826038,1.5721561969439728
169lina,540520509637,1.4
169lina,550715341924,1.3729782487451199
18086875775a,39539028043,2.6193443701890735
18086875775a,544115759872,2.1163863266413454
18086875775a,36286235128,1.8373202760957865
18086875775a,35753244214,1.582236842105263
18086875775a,540662291619,1.569616977225673
18086875775a,541254875522,1.5587044534412955
18086875775a,531877266868,1.5384179991509834
18086875775a,537180206236,1.5167464114832536
18086875775a,35722000205,1.4845070494888342
18086875775a,35877393642,1.3918466686948585
18329100972xb,539677826038,1.5879884605297667
18329100972xb,550715341924,1.3878418329637843
18329100972xb,520310825412,1.3621820089168635
18329100972xb,521019257989,1.1701844903064416
18329100972xb,36266985550,1.015832263585794
18329100972xb,547794157516,1.0148635842186644
18329100972xb,545979147913,0.9772357723577236
18329100972xb,42711696783,0.9612020170834621
18329100972xb,547751184046,0.9581881533101047
18329100972xb,545912368452,0.9550135501355015
18335510140王,36286235128,2.53565770730993
18335510140王,544115759872,2.419017905588714
18335510140王,538585695146,2.320665407143853
18335510140王,549882564050,2.2406513604355918
18335510140王,544115359956,2.2296918767507004
18335510140王,537180206236,2.104084321475626
18335510140王,42577833473,2.054480593607306
18335510140王,539677826038,1.8747877758913414
18335510140王,548547222435,1.7096754151858824
18335510140王,40400203213,1.7076939471440749
18705459190li98,36286235128,2.9078463683610094
18705459190li98,537180206236,2.4601919819311124
18705459190li98,531877266868,2.2983642808363953
18705459190li98,521019257989,1.9925346392737697
18705459190li98,549378588703,1.970873786407767
18705459190li98,539410602755,1.8867654085045389
18705459190li98,530710879153,1.7699562916954221
18705459190li98,531379484499,1.768633540372671
18705459190li98,36416065395,1.757919254658385
18705459190li98,543618945546,1.7329192546583851
18709821830jyh,45404080098,4.066739552964043
18709821830jyh,528109847799,4.0175611492081735
18709821830jyh,35877393642,4.007856979851653
18709821830jyh,529339155756,3.894123327250298
18709821830jyh,35722423659,3.868551147166941
18709821830jyh,39375321605,3.8599566072276086
18709821830jyh,39386028930,3.836183997408487
18709821830jyh,550905064205,3.8177358490566036
18709821830jyh,550966828606,3.6765515902227834
18709821830jyh,39539028043,3.5598792384954914
18716546696cy,39539028043,3.046269315673289
18716546696cy,36286235128,2.9057524929199063
18716546696cy,537396783238,2.624822075295724
18716546696cy,544115759872,2.5495018316909928
18716546696cy,529339155756,2.4917041003939007
18716546696cy,35722000205,2.313725490196078
18716546696cy,540520509637,2.207511737089202
18716546696cy,44928090920,2.12487700655028
18716546696cy,538585695146,2.1213047910295617
18716546696cy,520310825412,2.1140060656189688
18735211841静,36286235128,2.8373202760957863
18735211841静,520310825412,2.1140060656189688
18735211841静,533204346200,1.778182636077373
18735211841静,36266985550,1.7676563202878994
18735211841静,547794157516,1.76668764092077
18735211841静,541592740476,1.7434742434742436
18735211841静,538494418449,1.6920961326901922
18735211841静,550659732532,1.676885916016351
18735211841静,37444707994,1.6623931623931625
18735211841静,545959606207,1.0515436241610738
18859473301yan,537396783238,2.6119470020211097
18859473301yan,528153854399,1.411764705882353
18859473301yan,548998614714,1.3489152193907914
18859473301yan,522566248653,1.03150112504018
18859473301yan,547389639874,1.0232558139534884
18859473301yan,543636819112,1.0
18859473301yan,535647669951,1.0
18859473301yan,543644663788,1.0
18859473301yan,532936159396,1.0
18859473301yan,544114479515,1.0
18978854882李泰乐,546275765548,1.8984615384615384
18978854882李泰乐,550715341924,1.8157342657342657
18978854882李泰乐,40400203213,1.6693438914027148
18978854882李泰乐,529100790989,1.424175824175824
18978854882李泰乐,550659732532,1.3529542920847268
18978854882李泰乐,551065941768,1.3384615384615384
18978854882李泰乐,538658337414,1.3384615384615384
18978854882李泰乐,546783957758,1.3384615384615384
18978854882李泰乐,541256147554,1.3384615384615384
18978854882李泰乐,551081926272,1.3384615384615384
1940612579qq,35877393642,2.381320352905385
1940612579qq,520310825412,2.335823429541596
1940612579qq,527419046969,2.221817363922627
1940612579qq,547794157516,1.988505004843397
1940612579qq,35721027449,1.9342105263157898
1940612579qq,540662535716,1.9342105263157896
1940612579qq,43104145123,1.9242105263157896
1940612579qq,530812936284,1.910526315789474
1940612579qq,550659732532,1.898703279938978
1940612579qq,42240451814,1.8943115364167995
1976青春,36286235128,1.9078463683610092
1976青春,537180206236,1.4601919819311124
1976青春,531877266868,1.2983642808363955
1976青春,521019257989,0.9925346392737697
1976青春,539410602755,0.8867654085045389
1976青春,530710879153,0.7699562916954221
1976青春,531379484499,0.768633540372671
1976青春,36416065395,0.757919254658385
1976青春,45105421124,0.7329192546583851
1976青春,543618945546,0.7329192546583851
1981夜玫瑰,35753244214,1.6875
1981夜玫瑰,540407272609,1.2240119313944817
1981夜玫瑰,45404080098,1.1972222222222222
1981夜玫瑰,531145857565,1.1376146788990826
1981夜玫瑰,550661692854,1.0909090909090908
1981夜玫瑰,549661564014,1.069767441860465
1981夜玫瑰,540349069906,1.0239316239316238
1981夜玫瑰,550966828606,1.0208127308378865
1981夜玫瑰,550785319010,1.0
1981夜玫瑰,552028581381,1.0
1991青青小草,550715341924,1.1010351035103512
1991青青小草,529055709096,0.9809052333804811
1991青青小草,545940561990,0.8737623762376239
1991青青小草,527397362582,0.8142385667138143
1991青青小草,522566248653,0.6825859056493886
1991青青小草,545912368452,0.6682068206820684
1991青青小草,531379484499,0.6594766619519097
1991青青小草,546826767033,0.6237623762376239
1991青青小草,549744152016,0.6237623762376239
1991青青小草,538658337414,0.6237623762376239
1996mssj,544016559367,3.1581018518518515
1996mssj,537396783238,2.945519406392694
1996mssj,544115359956,2.8300595238095236
1996mssj,36286235128,1.8373202760957865
1996mssj,550715341924,1.7835227272727272
1996mssj,546275765548,1.7063515091501136
1996mssj,536083448292,1.617174369747899
1996mssj,521019257989,1.5658653846153845
1996mssj,42646163798,1.4690406976744186
1996mssj,541659214822,1.395680894308943
19971201夜夜夜夜,544115759872,2.1571333555038246
19971201夜夜夜夜,544768785584,1.7934384164222874
19971201夜夜夜夜,541254875522,1.7047146401985112
19971201夜夜夜夜,35722000205,1.5016212950071797
19971201夜夜夜夜,520310825412,1.2926385442514474
19971201夜夜夜夜,44928090920,1.2528491404288198
19971201夜夜夜夜,527475911875,1.144947209653092
19971201夜夜夜夜,544066720474,1.0497695852534563
19971201夜夜夜夜,528109847799,1.033513903936439
19971201夜夜夜夜,529100790989,1.0211981566820276
1号酒吧y,36058620932,2.2920110192837466
1号酒吧y,521019257989,2.2182930705657977
1号酒吧y,545538490326,2.1754264544233193
1号酒吧y,36266985550,2.06394084384515
1号酒吧y,550659732532,1.9731704395736016
1号酒吧y,521906910410,1.9693159838227534
1号酒吧y,543616921912,1.9586776859504131
1号酒吧y,543626161846,1.9586776859504131
1号酒吧y,37444707994,1.9586776859504131
1号酒吧y,550735773284,1.9586776859504131
1沉默的木鱼,39539028043,2.83795316447054
1沉默的木鱼,42577833473,1.6863425925925928
1沉默的木鱼,35753244214,1.582236842105263
1沉默的木鱼,546243180299,1.5809820944112858
1沉默的木鱼,539677826038,1.5808086737836742
1沉默的木鱼,35722000205,1.5123839009287925
1沉默的木鱼,537180206236,1.5056232427366447
1沉默的木鱼,537396783238,1.4643422926900702
1沉默的木鱼,36353085367,1.4382489926212778
1沉默的木鱼,35877393642,1.3918466686948585
2010一言难尽,537396783238,2.628158295281583
2010一言难尽,522566248653,1.0588235294117647
2010一言难尽,535612234886,1.0176580506488502
2010一言难尽,530812936284,1.0152046783625732
2010一言难尽,550597738824,1.0084967320261438
2010一言难尽,547742157633,1.0007936507936508
2010一言难尽,42768874029,1.0
2010一言难尽,550785319010,1.0
2010一言难尽,550659216693,1.0
2010一言难尽,544106282196,1.0
2013宝贝儿萌萌,35722333869,1.1952380952380952
2013宝贝儿萌萌,551248890640,0.980952380952381
2013宝贝儿萌萌,35721027449,0.0
2013宝贝儿萌萌,543889179481,0.0
2013宝贝儿萌萌,544106282196,0.0
2013宝贝儿萌萌,544100858313,0.0
2013宝贝儿萌萌,544099790786,0.0
2013宝贝儿萌萌,544066720474,0.0
2013宝贝儿萌萌,544017279596,0.0
2013宝贝儿萌萌,544016559367,0.0
2016lqj,545974803385,1.1748120300751879
2016lqj,544106282196,0.9642857142857142
2016lqj,35721027449,0.0
2016lqj,544016559367,0.0
2016lqj,544106286825,0.0
2016lqj,544100858313,0.0
2016lqj,544099790786,0.0
2016lqj,544066720474,0.0
2016lqj,544017279596,0.0
2016lqj,543889179481,0.0
2314303813csn,35753244214,1.6682692307692308
2314303813csn,36353085367,1.6406677079265912
2314303813csn,35877393642,1.4778790573588263
2314303813csn,537396783238,1.4643422926900702
2314303813csn,536083448292,1.29169360051713
2314303813csn,545538490326,1.148372700096838
2314303813csn,547382055156,1.0217528373266078
2314303813csn,539522491801,1.0060856864654333
2314303813csn,36500131840,1.0048656163113996
2314303813csn,538540548218,1.0045787545787546
250ily,39539028043,3.0346026490066227
250ily,35753244214,1.6625
250ily,36353085367,1.6348984771573605
250ily,528153854399,1.3867647058823531
250ily,531877266868,1.3840312490817879
250ily,546275765548,1.3183333333333334
250ily,527475911875,1.278921568627451
250ily,531846025844,1.242080745341615
250ily,545957998521,1.2026865485148008
250ily,529339155756,1.1583333333333332
258147m99,39539028043,2.870745347582884
258147m99,544115759872,2.5893705047592146
258147m99,539677826038,2.47916191925322
258147m99,549736062191,2.3683311472720203
258147m99,36058620932,2.2280701754385963
258147m99,35753244214,2.1752385947249104
258147m99,540407272609,2.1631932179441895
258147m99,549378588703,2.132903107297511
258147m99,541254875522,2.00509356821788
258147m99,531846025844,1.994153808215804
25纠结56,36353085367,1.614443931702815
25纠结56,35798985871,1.5946248600223965
25纠结56,531877266868,1.5384179991509834
25纠结56,540520509637,1.4
25纠结56,36058620932,1.3333333333333333
25纠结56,529055709096,1.3116883116883118
25纠结56,531846025844,1.2564424474692744
25纠结56,545959606207,1.1823853211009174
25纠结56,540522690300,1.1666666666666667
25纠结56,527397362582,1.145021645021645
282029174a,538585695146,3.1213047910295617
282029174a,544016559367,2.8809780654440846
282029174a,549736062191,2.6753553039225597
282029174a,537396783238,2.629168396291684
